iter	Passed	Remaining
0	135	13450
1	141	6913
2	145	4709
3	151	3630
4	156	2975
5	162	2543
6	168	2232
7	173	2000
8	178	1807
9	184	1660
10	189	1536
11	195	1432
12	200	1340
13	205	1261
14	210	1192
15	216	1136
16	222	1087
17	227	1035
18	233	994
19	238	955
20	243	917
21	249	884
22	253	848
23	258	818
24	263	791
25	268	763
26	273	738
27	278	715
28	283	693
29	287	671
30	292	651
31	298	634
32	302	614
33	307	596
34	312	581
35	318	566
36	323	551
37	329	536
38	334	523
39	339	509
40	345	496
41	349	481
42	354	469
43	360	458
44	364	445
45	369	433
46	374	422
47	379	411
48	384	400
49	390	390
50	397	381
51	402	371
52	408	362
53	414	353
54	419	342
55	424	333
56	429	324
57	434	314
58	439	305
59	444	296
60	449	287
61	454	278
62	459	270
63	464	261
64	469	252
65	476	245
66	481	237
67	486	229
68	493	221
69	497	213
70	503	205
71	509	197
72	513	189
73	518	182
74	523	174
75	528	166
76	533	159
77	538	151
78	543	144
79	548	137
80	553	129
81	558	122
82	564	115
83	569	108
84	574	101
85	579	94
86	584	87
87	589	80
88	593	73
89	599	66
90	604	59
91	610	53
92	615	46
93	619	39
94	625	32
95	630	26
96	635	19
97	640	13
98	646	6
99	651	0
